套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
faraday-em_synchrony,faraday,https://github.com/lostisland/faraday-em_synchrony,MIT License,https://github.com/lostisland/faraday-em_synchrony/blob/main/LICENSE.md,
faraday-excon,faraday,https://github.com/excon/faraday-excon,MIT License,https://github.com/excon/faraday-excon/blob/main/LICENSE.md,
faraday-httpclient,faraday,https://github.com/lostisland/faraday-httpclient,MIT License,https://github.com/lostisland/faraday-httpclient/blob/main/LICENSE.md,
faraday-multipart,faraday,https://github.com/lostisland/faraday-multipart,MIT License,https://github.com/lostisland/faraday-multipart/blob/main/LICENSE.md,
faraday-net_http,faraday,https://github.com/lostisland/faraday-net_http,MIT License,https://github.com/lostisland/faraday-net_http/blob/main/LICENSE.md,
faraday-net_http_persistent,faraday,https://github.com/lostisland/faraday-net_http_persistent,MIT License,https://github.com/lostisland/faraday-net_http_persistent/blob/main/LICENSE.md,
faraday-patron,faraday,https://github.com/lostisland/faraday-patron,MIT License,https://github.com/lostisland/faraday-patron/blob/main/LICENSE.md,
faraday-rack,faraday,https://github.com/lostisland/faraday-rack,MIT License,https://github.com/lostisland/faraday-rack/blob/main/LICENSE.md,
faraday-retry,faraday,https://github.com/lostisland/faraday-retry,MIT License,https://github.com/lostisland/faraday-retry/blob/main/LICENSE.md,
faraday_middleware,azure-storage-common,https://github.com/lostisland/faraday_middleware,MIT License,https://github.com/lostisland/faraday_middleware/blob/main/LICENSE.md,
ffi,"rb-inotify, ruby-vips",https://github.com/ffi/ffi,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/ffi/ffi/blob/master/LICENSE,
gitlab-license,[直接依賴],https://dev.gitlab.org/gitlab/gitlab-license,未知,,非 GitHub 來源
globalid,activejob,https://github.com/rails/globalid,MIT License,https://github.com/rails/globalid/blob/main/MIT-LICENSE,
grape-entity,"[直接依賴], grape_serializer",https://github.com/ruby-grape/grape-entity,MIT License,https://github.com/ruby-grape/grape-entity/blob/master/LICENSE,
grape_serializer,[直接依賴],https://github.com/kdan-mobile-software-ltd/grape_serializer,MIT License,https://github.com/kdan-mobile-software-ltd/grape_serializer/blob/master/LICENSE,
