套件名稱,引用套件名稱,套件 Repo URL,License 名稱,License URL,備註
@babel/plugin-transform-async-generator-functions,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-async-to-generator,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-block-scoped-functions,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-block-scoping,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-class-properties,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-class-static-block,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-classes,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-computed-properties,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-destructuring,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-dotall-regex,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-duplicate-keys,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-duplicate-named-capturing-groups-regex,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-dynamic-import,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-explicit-resource-management,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-exponentiation-operator,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
@babel/plugin-transform-export-namespace-from,,https://github.com/babel/babel,MIT License,https://github.com/babel/babel/blob/main/LICENSE,
